Date,RELIANCE,TCS,HINDUNILVR,INFY,HDFC,BHARTIARTL,ITC,ASIANPAINT,NESTLEIND,HCLTECH,MARUTI,LT,TITAN,BRITANNIA,BAJAJ-AUTO,EICHERMOT,DRREDDY,DMART,PIDILITIND,HDFCBANK,KOTAKBANK,ICICIBANK,AXISBANK
06-08-2017,765.865356,1248.025024,1152.800049,493.850006,1695.349976,380.630829,271.5,1143.900024,6544.299805,436.149994,7457.399902,1131.949951,607,2050.975098,2788.199951,2962.735107,2011.150024,1136.199951,790.299988,874.525024,992.200012,286.950012,489.700012
13-08-2017,780.303528,1256.900024,1202.199951,461.625,1735.050049,386.553101,281.850006,1140,6653.399902,438.125,7598.799805,1130.599976,623.5,2125.725098,2811.350098,3151.14502,1982,1129.150024,821.549988,876.075012,983.549988,293.149994,490.399994
20-08-2017,776.663025,1248.300049,1179.699951,456.075012,1757.349976,397.52533,281.450012,1135.599976,6602.600098,433.75,7612.850098,1131.699951,606.799988,2107.050049,2728.550049,3075.090088,2088.149902,1159.650024,829.049988,881.25,972.099976,297.700012,506.850006
27-08-2017,797.490601,1228.224976,1216.150024,459.975006,1759.550049,387.976257,283.600006,1215.900024,7015.299805,432.875,7812.299805,1139.199951,613.5,2121.975098,2916.350098,3177.23999,2217.550049,1106.050049,843.75,883.799988,992.549988,298.299988,507.549988
03-09-2017,809.229309,1235.300049,1207.550049,442.149994,1779.150024,370.484985,272.350006,1203.949951,7201.399902,429.75,7970.75,1172.400024,633.400024,2144.125,2915.449951,3261.774902,2162.5,1149.900024,843.650024,893.825012,1007.549988,292,494
10-09-2017,833.895508,1253.025024,1246,454.125,1768.949951,363.598633,269.299988,1245.5,7349.049805,443.524994,8099.75,1212.400024,632.150024,2178.5,3025.600098,3200.794922,2211.199951,1114.400024,838.150024,924.474976,1005.049988,291.600006,516.150024
17-09-2017,809.724609,1251.800049,1239.199951,449.149994,1780.949951,363.001831,268.450012,1213.25,7169.549805,442.225006,8068.200195,1184.800049,602.299988,2135.149902,3042.449951,3157.959961,2457.75,1132.550049,814.099976,912.049988,1021.900024,277.100006,505.299988
24-09-2017,773.567383,1217.974976,1173.900024,449.950012,1742.150024,357.584564,258.299988,1131.699951,7216.5,437.399994,7978.200195,1142.050049,584.549988,2172.125,3109.399902,3121.330078,2328.75,1121.800049,794.5,902.849976,1002.25,276.600006,509.149994
01-10-2017,829.190125,1223.324951,1207.300049,460.075012,1740,351.019592,266.149994,1157.300049,7352.799805,453.950012,7903.200195,1141.800049,596.599976,2180.925049,3141.550049,3154.11499,2375.850098,1151.099976,800.349976,900.049988,1039.5,271.950012,503.350006
08-10-2017,868.220154,1279.300049,1248.599976,465.049988,1766.449951,395.643066,265.950012,1174.25,7345.399902,463.25,7874.149902,1138.650024,625.150024,2291.100098,3160.850098,3139.925049,2354.449951,1181.349976,808.849976,925.400024,1082.349976,271.299988,529.450012
15-10-2017,901.356018,1291.949951,1257.699951,463.475006,1745.75,434.987,269.649994,1178.5,7216.200195,461.149994,7731.100098,1139.75,606.950012,2318.125,3217.949951,3148.909912,2373.050049,1243.400024,800.900024,924.200012,1077.75,257.850006,460.299988
22-10-2017,921.118713,1292.150024,1260.150024,473.174988,1699.050049,445.591949,269.350006,1184.550049,7170.649902,427.475006,8114.450195,1224.650024,590.049988,2298.675049,3300.149902,3181.175049,2394.949951,1234.599976,786.400024,895.525024,1029,301.149994,485.950012
29-10-2017,936.423645,1310.050049,1239.5,463.325012,1776.300049,496.96405,265.399994,1172.449951,7413.450195,423.575012,8219.400391,1235,659.75,2329.050049,3217.449951,3123.51001,2419.100098,1144.349976,770.049988,915.349976,1015.5,315.899994,540.099976
05-11-2017,875.550659,1354.375,1290.650024,481.024994,1709.5,462.256897,261.700012,1178.599976,7785.25,433.524994,8183.5,1264.949951,782.049988,2436.5,3253.350098,3055.165039,2347.850098,1159.300049,821.099976,911,993.400024,318.5,544.799988
12-11-2017,903.33728,1353.650024,1278.150024,485.475006,1705.5,453.121033,258,1171.300049,7690.350098,420,8348.349609,1222.800049,786.299988,2375.024902,3206.850098,3070.745117,2322.600098,1135.099976,835.549988,912.775024,1023.200012,325.100006,542.400024
19-11-2017,942.169189,1344.025024,1265.949951,504.774994,1711.050049,456.151001,260.75,1159.599976,7502.25,429.200012,8487.950195,1218.5,829.299988,2371,3288.300049,3081.235107,2295.050049,1177.800049,842.200012,925.700012,1030.349976,317.200012,545.5
26-11-2017,901.554138,1314.974976,1250.5,479.399994,1658.800049,444.536072,255.199997,1133.75,7696.450195,415,8609,1211.650024,805.25,2402.975098,3216.899902,2928.094971,2233.899902,1173.5,855.450012,924.099976,1005.150024,305.25,533.849976
03-12-2017,912.351807,1300.75,1326.650024,500.924988,1682.949951,482.181366,262.200012,1135.5,7921.049805,435.225006,9042.25,1220.349976,810.950012,2427.925049,3212.649902,2899.995117,2185.449951,1300.25,890.900024,920.200012,1009,310.75,542.5
10-12-2017,911.113525,1272.800049,1324.550049,511.450012,1723,475.570496,264.600006,1118.699951,7848.700195,445.899994,9165.900391,1203.550049,832.849976,2351.800049,3198.800049,2947.870117,2371.5,1314.25,862.900024,936.724976,1030.099976,303.149994,547.950012
